category,vader_negative,vader_neutral,vader_positive,vader_compound,textblob_polarity,textblob_subjectivity
galaxy,0.04,0.8398,0.1202,0.17341333333333334,0.13888888888888887,0.47944444444444445
iphone,0.05297727272727273,0.8163636363636364,0.13063636363636363,0.2034590909090909,0.18611881805063624,0.4102670489683477
