category,vader_negative,vader_neutral,vader_positive,vader_compound,textblob_polarity,textblob_subjectivity
galaxy,0.05278571428571429,0.8613571428571428,0.08585714285714285,0.0814,0.07946528779862112,0.45885842552509226
iphone,0.05196703296703297,0.8298681318681319,0.11814285714285713,0.16927472527472529,0.1579493918779633,0.4047019734146892
